,Nodes,Layers,Filters,Kernels,Batch_Sizes,Optimizer,Activation,R Squared
112,400,4,80,10,80,Adam,relu,0.0022500286090883304
113,400,4,80,10,80,Adam,linear,0.014762682756653975
114,400,4,80,10,80,Adamax,relu,0.0011448190815581583
115,400,4,80,10,80,Adamax,linear,0.0077105098864277
116,400,4,80,20,80,Adam,relu,0.0
117,400,4,80,20,80,Adam,linear,0.004885169925311269
118,400,4,80,20,80,Adamax,relu,0.0114827911023384
119,400,4,80,20,80,Adamax,linear,0.007646278590829318
120,400,4,120,10,80,Adam,relu,0.0036141964169654713
121,400,4,120,10,80,Adam,linear,0.0015262383651077362
122,400,4,120,10,80,Adamax,relu,0.0
123,400,4,120,10,80,Adamax,linear,0.0034906016374245613
124,400,4,120,20,80,Adam,relu,0.0
125,400,4,120,20,80,Adam,linear,0.0022856734922091526
126,400,4,120,20,80,Adamax,relu,0.0027868496171653983
127,400,4,120,20,80,Adamax,linear,0.0002496276187427554
128,300,3,80,10,80,Adam,relu,0.006042977512192067
129,300,3,80,10,80,Adam,linear,0.0009856092154855033
130,300,3,80,10,80,Adamax,relu,0.005586377797374073
131,300,3,80,10,80,Adamax,linear,0.0006242239744274102
132,300,3,80,20,80,Adam,relu,0.0007734271961361401
133,300,3,80,20,80,Adam,linear,0.017297238080738152
134,300,3,80,20,80,Adamax,relu,2.204125858020991e-06
135,300,3,80,20,80,Adamax,linear,0.0024487251790085746
136,300,3,120,10,80,Adam,relu,0.004497379806520294
137,300,3,120,10,80,Adam,linear,0.005689693566556509
138,300,3,120,10,80,Adamax,relu,0.0006795972908855401
139,300,3,120,10,80,Adamax,linear,0.002074893184813387
140,300,3,120,20,80,Adam,relu,0.0
141,300,3,120,20,80,Adam,linear,0.0030215944095720927
142,300,3,120,20,80,Adamax,relu,0.0
143,300,3,120,20,80,Adamax,linear,0.0036943151319549805
144,300,4,80,10,80,Adam,relu,0.007701976574408232
145,300,4,80,10,80,Adam,linear,0.006495772394588846
146,300,4,80,10,80,Adamax,relu,0.0006640714299105272
147,300,4,80,10,80,Adamax,linear,0.0009482476691889314
148,300,4,80,20,80,Adam,relu,0.0
149,300,4,80,20,80,Adam,linear,0.001137236724904658
150,300,4,80,20,80,Adamax,relu,2.1854602244908272e-05
151,300,4,80,20,80,Adamax,linear,7.38959505152453e-05
152,300,4,120,10,80,Adam,relu,0.0
153,300,4,120,10,80,Adam,linear,0.0015826733525136322
154,300,4,120,10,80,Adamax,relu,0.0
155,300,4,120,10,80,Adamax,linear,2.31616817869614e-06
156,300,4,120,20,80,Adam,relu,0.0004787891477683868
157,300,4,120,20,80,Adam,linear,0.010014481752656013
158,300,4,120,20,80,Adamax,relu,0.0002758477264497364
159,300,4,120,20,80,Adamax,linear,0.0014342492128621253
160,400,3,80,10,80,Adam,relu,0.00017621558586513052
161,400,3,80,10,80,Adam,linear,0.0
162,400,3,80,10,80,Adamax,relu,0.004324571160589178
163,400,3,80,10,80,Adamax,linear,0.006559790004470148
164,400,3,80,20,80,Adam,relu,0.0004883615531425624
165,400,3,80,20,80,Adam,linear,0.0043555932442619575
166,400,3,80,20,80,Adamax,relu,0.002662817750697999
167,400,3,80,20,80,Adamax,linear,0.0
168,400,3,120,10,80,Adam,relu,0.0012375472372175092
169,400,3,120,10,80,Adam,linear,0.00020219604243448987
170,400,3,120,10,80,Adamax,relu,0.0017354482292076111
171,400,3,120,10,80,Adamax,linear,0.002789693942419293
172,400,3,120,20,80,Adam,relu,0.0
173,400,3,120,20,80,Adam,linear,0.0001979203878969811
174,400,3,120,20,80,Adamax,relu,0.0
175,400,3,120,20,80,Adamax,linear,0.00029983686713388184
176,400,4,80,10,80,Adam,relu,0.003293127340868482
177,400,4,80,10,80,Adam,linear,1.7606637582009507e-05
178,400,4,80,10,80,Adamax,relu,0.00016882630515643212
179,400,4,80,10,80,Adamax,linear,3.2863538432153566e-05
180,400,4,80,20,80,Adam,relu,0.0061186865933298236
181,400,4,80,20,80,Adam,linear,0.0011168861539672906
182,400,4,80,20,80,Adamax,relu,0.0017694227271247307
183,400,4,80,20,80,Adamax,linear,0.0
184,400,4,120,10,80,Adam,relu,0.00016241105353565565
185,400,4,120,10,80,Adam,linear,0.0
186,400,4,120,10,80,Adamax,relu,0.00013048890893164601
187,400,4,120,10,80,Adamax,linear,0.0025476905965149724
188,400,4,120,20,80,Adam,relu,0.015794259333537394
189,400,4,120,20,80,Adam,linear,0.0002074572214374505
190,400,4,120,20,80,Adamax,relu,0.0030178037904318666
191,400,4,120,20,80,Adamax,linear,0.0010018012732406407
